Istanbul,377,759,9592200
Ankara,707,635,3500800
Izmir,223,463,2445800
Bursa,387,666,1305600
Adana,917,299,1235700
Gaziantep,1093,307,1018400
Konya,676,400,811700
Antalya,525,286,659200
Diyarbakir,1335,404,596700
Mersin,859,277,587800
Kayseri,931,498,586200
Eskisehir,509,619,527600
Urfa,1212,318,421400
Malatya,1171,455,416500
Samsun,1003,791,396900
Erzurum,1425,633,394800
Kahramanmaras,1055,369,356500
Van,1604,470,310900
Adapazari,500,734,310100
Denizli,387,388,301100
Elazig,1250,492,291200
Sivas,1062,614,275200
Batman,1411,401,269600
Balikesir,285,603,235400
Trabzon,1290,758,234900
Manisa,247,486,234200
Kirikkale,764,626,224100
Izmit,459,731,213900
Adiyaman,1169,387,195100
Kutahya,463,576,182100
Corum,887,707,176300
Iskenderun,989,251,173900
Isparta,512,387,167200
Antakya,989,207,158400
Aydin,282,397,156600
Usak,415,492,149700
Corlu,278,777,143800
Aksaray,808,456,142000
Afyonkarahisar,511,502,140500
Edirne,173,837,130400
Tokat,1023,677,123600
Ordu,1135,757,123000
Tekirdag,254,755,117100
Erzincan,1272,613,117100
Karaman,739,319,115200
Siirt,1481,407,107400
Zonguldak,618,810,106300
Alanya,635,248,96500
Kirsehir,819,545,96300
Giresun,1178,749,95700
Bolu,602,729,92400
Kars,1576,711,85800
Rize,1359,760,85400
Nigde,863,411,85300
Canakkale,160,661,82800
Amasya,961,718,81300
Yozgat,874,622,80800
Bingol,1357,516,75300
Nevsehir,866,486,74200
Mus,1442,498,74200
Mardin,1381,337,71100
Kastamonu,786,802,70600
Burdur,480,375,69200
Igdir,1660,634,65400
Hakkari,1634,364,63500
Duzce,563,740,61900
Kirklareli,229,844,58200
Kusadasi,232,399,57300
Fethiye,389,255,56400
Bartin,664,832,39300
Bitlis,1497,463,49100
Mugla,326,324,47900
Bodrum,247,303,35200
Ayvalik,184,566,35000
Safranbolu,694,788,34600
Sinop,903,876,33300
Gumushane,1271,696,33100
Marmaris,317,283,31900
Bilecik,463,661,37300
Tunceli,1277,540,27400
Artvin,1470,780,25300
Gelibolu,183,691,25000
